id,competitor,country,title,description,bonus_amount,bonus_type,conditions,valid_until,url,scraped_at,hash_id,is_active,created_at
132,Mega Dice,NZ,شحن الحساب في MegaDiceلشحن حسابك في MegaDice، قم بالدخول إلى حسابك الشخصي واختر خيار “الإيداع” أو “D,شحن الحساب في MegaDiceلشحن حسابك في MegaDice، قم بالدخول إلى حسابك الشخصي واختر خيار “الإيداع” أو “Deposit”,,Deposit Bonus,,,https://megadice.bet,2025-09-30T10:20:58.119240,-5340725614062546258,1,2025-09-30 08:21:15
131,Mega Dice,NZ,"







Mega Dice Casino - 200% up to 1BTC + 50FS


















































","







Mega Dice Casino - 200% up to 1BTC + 50FS























































		Skip to content	




Mega Dice




Menu					 
Close					 


Home
Bonus
Sports
Review
Telegram Casino
 





Login



Sign Up















200% bonus Up to 1BTC + 50 FS
Join Telegram Casino





				SIGN UP & GET UP TO				200% BONUS

JOIN NOW







								
									Popular Games							
See All
















										
											Sportsbook									
See All





























",200%,Other,,,https://mega-dice.com,2025-09-30T10:20:56.399348,1498551658779113314,1,2025-09-30 08:21:15
130,Gunsbet,NZ,"
Online Casino | 335% up to €1,675 | Play Casino Online



Log inSign UpFirst Deposit Bonus100% up t","
Online Casino | 335% up to €1,675 | Play Casino Online



Log inSign UpFirst Deposit Bonus100% up to €500 + 200 Free SpinsWelcome  offer335% up to €1,675 + 300 Free Spins sign upWeekly CashbackEnjoy a 10% cashback  on your active gamesign upFriday Reload Bonus60% up to €300 + 20 free spinssign upFirst Deposit Bonus100% up to €500 + 200 Free SpinsWelcome  offer335% up to €1,675 + 300 Free Spins sign upWeekly CashbackEnjoy a 10% cashback  on your active gamesign upFriday Reload Bonus60% up to €30","€1,675",Welcome Bonus,,,https://www.gunsbet.com,2025-09-30T10:20:36.794627,-981379593063485889,1,2025-09-30 08:21:15
129,Gunsbet,NZ, Im Folgenden finden Sie alle Details zu den wichtigsten Aspekten von Gunsbet Casino – von Ein- und ," Im Folgenden finden Sie alle Details zu den wichtigsten Aspekten von Gunsbet Casino – von Ein- und Auszahlungsmethoden bis hin zu Bonusangeboten, beliebten Spielen und Service für Nutzer aus der Schweiz",,Other,,,https://www.gunsbet.bet,2025-09-30T10:20:36.313744,6039407730946177684,1,2025-09-30 08:21:15
128,N1 Bet,NZ,Tournaments in Slots and Live Games for Players Online Casino N1 BET	casinoLive CasinoSportsE-sports,Tournaments in Slots and Live Games for Players Online Casino N1 BET	casinoLive CasinoSportsE-sportsSearch game or providerLog inSign upPromotionsVIP ClubNewCasinoSlotsJackpotBonus buyMegawaysInstant WinNewHold & WinCollectionsLive CasinoPopularBlackjackRouletteBaccaratPokerGame ShowsOther GamesCollectionsSportsLiveSports PromotionsResultsScheduleTOP SPORTSFootball839Handball42Ice Hockey108Basketball89Tennis319Volleyball9Boxing45OTHER SPORTSTable Tennis224Baseball13Water Polo1Cricket49Futsal3Rug,,Tournament,,,https://n1bet.com/tournaments,2025-09-30T10:20:04.460045,6808268789051809539,1,2025-09-30 08:21:15
124,N1 Bet,NZ,"Online casino, Online casino games for free and for real money - N1Bet CasinocasinoLive CasinoSports","Online casino, Online casino games for free and for real money - N1Bet CasinocasinoLive CasinoSportsE-sportsSearch game or providerLog inSign upPromotionsVIP ClubNewCasinoSlotsJackpotBonus buyMegawaysInstant WinNewHold & WinCollectionsLive CasinoPopularBlackjackRouletteBaccaratPokerGame ShowsOther GamesCollectionsSportsLiveSports PromotionsResultsScheduleTOP SPORTSFootball889Handball78Ice Hockey115Basketball103Tennis401Volleyball3Boxing47OTHER SPORTSTable Tennis170Baseball13Water Polo2Cricket43F",,Other,,,https://n1bet.com/welcome-bonus,2025-09-30T10:20:04.338581,1886518620467095102,1,2025-09-30 08:21:15
127,N1 Bet,NZ,casinoLive CasinoSportsE-sportsSearch game or providerLog inSign upPromotionsVIP ClubNewCasinoSlotsJ,casinoLive CasinoSportsE-sportsSearch game or providerLog inSign upPromotionsVIP ClubNewCasinoSlotsJackpotBonus buyMegawaysInstant WinNewHold & WinCollectionsLive CasinoPopularBlackjackRouletteBaccaratPokerGame ShowsOther GamesCollectionsSportsLiveSports PromotionsResultsScheduleTOP SPORTSFootball889Handball78Ice Hockey115Basketball103Tennis401Volleyball3Boxing47OTHER SPORTSTable Tennis170Baseball13Water Polo2Cricket43Futsal5Rugby League1Rugby Union11MMA41Alpine SkiingLacrosseWWEOlympicsBiathlon,,Other,,,https://n1bet.com/offers,2025-09-30T10:20:01.072430,-8799553857397551256,1,2025-09-30 08:21:15
126,N1 Bet,NZ,"Welcome Bonuses, Promo Codes and Freespins for Players Online Casino N1 BETcasinoLive CasinoSportsE-","Welcome Bonuses, Promo Codes and Freespins for Players Online Casino N1 BETcasinoLive CasinoSportsE-sportsSearch game or providerLog inSign upPromotionsVIP ClubNewCasinoSlotsJackpotBonus buyMegawaysInstant WinNewHold & WinCollectionsLive CasinoPopularBlackjackRouletteBaccaratPokerGame ShowsOther GamesCollectionsSportsLiveSports PromotionsResultsScheduleTOP SPORTSFootball832Handball50Ice Hockey117Basketball94Tennis244Volleyball8Boxing45OTHER SPORTSTable Tennis194Baseball9Water Polo1Cricket37Futsa",,Welcome Bonus,,,https://n1bet.com/promotions,2025-09-30T10:19:54.462870,-6779744028259555473,1,2025-09-30 08:21:15
125,N1 Bet,NZ,"











N1 BET Canada: Betting with the best odds on your favorite sport























","











N1 BET Canada: Betting with the best odds on your favorite sport
















































Sign in
Sign up






Sports




In-Play
27



Cybersport




Schedule & Results




Statistic Center
 
Bonuses
Mobile App
Live
Reviews
Contacts
 


 English - Canada                







 English - Canada                



 Русский                



 Portuguese                



 Polski                



 Norwegian                



 Français                



 Su",,Other,,,https://www.n1-bet.com,2025-09-30T10:19:54.316645,-3951387518116884875,1,2025-09-30 08:21:15
123,Golden Crown,NZ,"    Golden Crown Casino | Login, Receive $10,000 Or 100 mBTC As a New Player                        ","    Golden Crown Casino | Login, Receive $10,000 Or 100 mBTC As a New Player                                       Games Sport Cybersport Promo Tournaments Lotteries   Login Sign Up                       Login Sign Up   Games Sport Cybersport Promo Tournaments Lotteries       Golden Crown Casino Golden Crown Casino brings the thrill of premium gaming right to the heart of Australia","$10,000",Tournament,,,https://goldencrown.bet,2025-09-30T10:19:49.010639,8463720125336455464,1,2025-09-30 08:21:15
